execution	target_folder	target_label	sampled_reads_R	sampled_reads_mapped	sampled_reads_canonical_confirmed	median_divergence_aligned_pct	q25_divergence_aligned_pct	q75_divergence_aligned_pct	median_query_coverage_pct	reads_coverage_ge_70	reads_coverage_ge_80	reads_coverage_ge_90
Lib1barcode51	montagens_CALHV3	CalHV3	300	220	220	6.372549019607843	4.761904761904762	9.124007060900265	89.7378663003663	220	209	101
Lib1barcode51	montagens_consenso_H1	H1_internal	300	0	0					0	0	0
Lib1barcode52	montagens_CALHV3	CalHV3	300	139	139	5.2356020942408374	3.553299492385787	7.653061224489796	86.84210526315789	135	116	41
Lib1barcode53	montagens_CALHV3	CalHV3	300	135	135	4.854368932038835	2.8930922888070527	6.779700764504479	88.39285714285714	132	118	48
Lib1barcode54	montagens_CALHV3	CalHV3	300	166	166	5.612390993101654	2.9852985298529853	8.085646580907245	88.59649122807018	162	146	61
Lib1barcode55	montagens_CALHV3	CalHV3	300	93	93	5.882352941176471	4.0	8.24742268041237	88.49557522123894	90	80	32
Lib1barcode56	montagens_CALHV3	CalHV3	300	75	75	6.030150753768845	4.345659585628114	8.297660908118026	88.54625550660793	75	68	27
Lib1barcode57	montagens_CALHV3	CalHV3	300	230	230	5.102572112881392	3.474531769648171	7.610020311442112	89.84542512962457	227	211	106
Lib1barcode58	montagens_consenso_H1	H1_internal	300	32	32	7.855587808417997	6.293781353098025	10.491840956102045	97.74237606001304	29	28	20
Lib1barcode59	montagens_CALHV3	CalHV3	300	207	207	4.368932038834951	2.7055485682529468	6.618213323065075	88.69565217391305	202	182	71
Lib1barcode60	montagens_CALHV3	CalHV3	264	206	206	4.975124378109452	3.349282296650718	6.985732750049712	88.86504530281354	202	176	77
Lib1barcode61	montagens_CALHV3	CalHV3	300	232	232	6.957446808510639	5.1883616975441615	9.434885637749845	88.98491749421339	230	214	101
Lib1barcode62	montagens_CALHV3	CalHV3	300	223	223	6.666666666666667	5.134137769447047	8.695855115758029	89.82300884955752	219	208	101
Lib1barcode63	montagens_CALHV3	CalHV3	300	194	194	4.239043625836079	2.898550724637681	5.910471999580911	88.91303492762744	193	173	81
Lib1barcode64	montagens_CALHV3	CalHV3	300	93	93	4.30622009569378	2.8708133971291865	6.862745098039215	88.646288209607	89	81	32
Lib1barcode65	montagens_consenso_H1	H1_internal	300	96	96	8.333333333333334	6.068527918781726	10.054680916264461	97.06956344349246	94	83	58
Lib1barcode66	montagens_CALHV3	CalHV3	300	104	104	4.688644688644688	2.966639028434863	6.568976183111661	88.62138971883859	99	85	37
Lib1barcode67	montagens_CALHV3	CalHV3	300	166	166	4.275558564658091	2.8708133971291865	6.153871948493249	88.98678414096916	164	140	65
Lib1barcode68	montagens_CALHV3	CalHV3	300	96	96	3.827751196172249	2.955665024630542	6.0776369887716095	87.41812227074236	94	76	27
Lib1barcode70	montagens_CALHV3	CalHV3	300	168	168	4.902431990771893	2.955665024630542	8.033492822966508	89.71647509578544	164	161	74
Lib1barcode72	montagens_consenso_H1	H1_internal	300	47	47	7.894736842105263	5.654133797766622	10.293352022426912	97.81659388646288	45	43	37
Lib1barcode74	montagens_CALHV3	CalHV3	300	91	91	5.208333333333333	3.912190922569229	7.89353124427341	89.08296943231441	88	78	37
Lib2barcode01	montagens_CALHV3	CalHV3	300	77	77	6.521739130434782	4.9504950495049505	8.61244019138756	89.95633187772926	75	74	38
Lib2barcode01	montagens_consenso_H1	H1_internal	300	14	14	5.920204682299983	5.708033851147693	10.582677488112806	97.8354572713643	13	13	13
Lib2barcode03	montagens_CALHV3	CalHV3	300	51	51	6.372549019607843	5.2631578947368425	9.2574964302713	88.79310344827586	48	46	20
Lib2barcode04	montagens_CALHV3	CalHV3	300	91	91	7.216494845360825	5.825242718446602	9.250177683013504	89.95633187772926	90	83	42
Lib2barcode06	montagens_CALHV3	CalHV3	300	145	145	4.301075268817204	2.5510204081632653	7.389162561576355	89.38053097345133	145	141	63
Lib2barcode07	montagens_CALHV3	CalHV3	300	73	73	3.0	2.3923444976076556	4.784688995215311	89.86784140969164	71	70	31
Lib2barcode09	montagens_CALHV3	CalHV3	300	129	129	3.827751196172249	2.8708133971291865	5.2631578947368425	90.09009009009009	127	124	66
Lib2barcode10	montagens_CALHV3	CalHV3	300	182	182	4.857740021574973	3.1088082901554404	7.490088406853809	89.95633187772926	176	172	90
Lib2barcode13	montagens_consenso_H1	H1_internal	300	97	97	5.286343612334802	4.845814977973569	6.926406926406926	97.84482758620689	96	95	94
Lib2barcode14	montagens_consenso_H1	H1_internal	300	157	157	5.769230769230769	4.845814977973569	7.359307359307359	97.83549783549783	151	150	146
Lib2barcode15	montagem_LIB_3_HSV6	HSV6	300	0	0					0	0	0
Lib2barcode15	montagens_consenso_H1	H1_internal	300	100	100	5.286343612334802	3.995575221238938	6.862309174447903	97.79248372383142	64	63	57
Lib2barcode17	montagens_CALHV3	CalHV3	300	103	103	3.5	2.538332689086458	6.2353347135955834	89.95633187772926	102	100	49
Lib2barcode18	montagens_CALHV3	CalHV3	300	86	86	4.102564102564102	2.955665024630542	6.295509708737864	89.93430628974181	80	78	41
Lib2barcode19	montagens_CALHV3	CalHV3	300	90	90	3.9408866995073892	2.8708133971291865	5.301296720061022	90.39301310043668	89	88	51
Lib2barcode20	montagens_CALHV3	CalHV3	300	66	66	6.816789215686274	5.7625307753054305	9.29299964054637	91.2280701754386	65	64	44
Lib2barcode21	montagens_CALHV3	CalHV3	300	140	140	3.777455027263925	2.8310254441473166	5.630984621336687	89.95633187772926	135	128	67
Lib2barcode22	montagens_CALHV3	CalHV3	300	136	136	4.511533242876526	3.2776253429782987	6.741459470386093	89.80039331366766	134	131	63
Lib2barcode23	montagens_CALHV3	CalHV3	300	57	57	3.3333333333333335	2.3391812865497075	5.741626794258373	90.64039408866995	55	53	30
Lib2barcode24	montagens_CALHV3	CalHV3	300	0	0					0	0	0
Lib2barcode25	montagens_CALHV3	CalHV3	300	168	168	4.572769710881284	2.9578511674002392	7.7037545787545785	89.95633187772926	166	158	82
Lib2barcode26	montagens_CALHV3	CalHV3	300	124	124	4.336075205640423	2.5063126578164456	6.380396986380759	89.95633187772926	123	120	59
Lib2barcode27	montagens_CALHV3	CalHV3	300	27	27	2.912621359223301	2.484832042618261	4.575550599386674	88.94009216589862	24	24	10
