execution	input_reads	mapped_any_target	mapped_fraction	multitarget_reads	multitarget_fraction_of_mapped	tied_best_AS_reads	tied_fraction_of_mapped	has_multitarget	has_tied_best
Lib3barcode42	2463	0	0.0	0		0		0	0
Lib3barcode43	3164	1	0.00031606	0	0.0	0	0.0	0	0
Lib3barcode44	1700	2	0.00117647	0	0.0	0	0.0	0	0
Lib3barcode45	2948	716	0.24287653	0	0.0	0	0.0	0	0
Lib3barcode46	4077	0	0.0	0		0		0	0
Lib3barcode47	2707	2	0.00073883	0	0.0	0	0.0	0	0
Lib3barcode48	3094	1	0.00032321	0	0.0	0	0.0	0	0
Lib3barcode49	2181	0	0.0	0		0		0	0
Lib3barcode50	1969	317	0.16099543	0	0.0	0	0.0	0	0
Lib3barcode51	3365	1	0.00029718	0	0.0	0	0.0	0	0
Lib3barcode52	3863	1	0.00025887	0	0.0	0	0.0	0	0
Lib3barcode53	3775	341	0.09033113	0	0.0	0	0.0	0	0
Lib3barcode54	3511	511	0.14554258	0	0.0	0	0.0	0	0
Lib3barcode55	4642	1	0.00021542	0	0.0	0	0.0	0	0
Lib3barcode56	2728	0	0.0	0		0		0	0
Lib3barcode57	6451	432	0.06696636	0	0.0	0	0.0	0	0
Lib3barcode58	5442	562	0.10327086	0	0.0	0	0.0	0	0
Lib3barcode59	3887	0	0.0	0		0		0	0
Lib3barcode60	2363	398	0.16842996	0	0.0	0	0.0	0	0
Lib3barcode61	1878	251	0.13365282	0	0.0	0	0.0	0	0
Lib3barcode62	2641	289	0.10942825	0	0.0	0	0.0	0	0
Lib3barcode63	2380	2	0.00084034	0	0.0	0	0.0	0	0
Lib3barcode64	2107	65	0.03084955	0	0.0	0	0.0	0	0
Lib3barcode65	5799	1	0.00017244	0	0.0	0	0.0	0	0
Lib3barcode66	5129	7	0.00136479	0	0.0	0	0.0	0	0
Lib3barcode67	5556	215	0.0386969	0	0.0	0	0.0	0	0
Lib3barcode68	2263	0	0.0	0		0		0	0
Lib3barcode69	621	0	0.0	0		0		0	0
Lib3barcode70	3333	294	0.08820882	0	0.0	0	0.0	0	0
Lib3barcode71	2405	263	0.10935551	0	0.0	0	0.0	0	0
Lib3barcode72	2842	397	0.13969036	0	0.0	0	0.0	0	0
Lib3barcode73	3220	178	0.0552795	0	0.0	0	0.0	0	0
Lib3barcode74	1965	0	0.0	0		0		0	0
Lib3barcode75	3264	1	0.00030637	0	0.0	0	0.0	0	0
Lib3barcode76	1773	233	0.13141568	0	0.0	0	0.0	0	0
Lib3barcode77	3732	0	0.0	0		0		0	0
Lib3barcode78	6053	1	0.00016521	0	0.0	0	0.0	0	0
Lib3barcode79	1624	0	0.0	0		0		0	0
Lib3barcode80	1589	259	0.16299559	159	0.61389961	10	0.03861004	1	1
Lib3barcode81	2466	506	0.20519059	0	0.0	0	0.0	0	0
Lib3barcode82	4485	1	0.00022297	0	0.0	0	0.0	0	0
Lib3barcode83	6123	0	0.0	0		0		0	0
Lib3barcode84	1335	198	0.14831461	0	0.0	0	0.0	0	0
Lib3barcode85	2013	423	0.21013413	0	0.0	0	0.0	0	0
Lib3barcode86	1850	2	0.00108108	0	0.0	0	0.0	0	0
Lib3barcode87	2566	105	0.04091972	0	0.0	0	0.0	0	0
Lib3barcode88	115	1	0.00869565	0	0.0	0	0.0	0	0
Lib3barcode89	2140	0	0.0	0		0		0	0
Lib3barcode90	1369	246	0.17969321	0	0.0	0	0.0	0	0
Lib3barcode91	4367	0	0.0	0		0		0	0
Lib3barcode92	2251	153	0.06796979	0	0.0	0	0.0	0	0
Lib3barcode93	1638	0	0.0	0		0		0	0
Lib3barcode94	2110	0	0.0	0		0		0	0
