execution	input_reads	mapped_any_target	unmapped	reads_one_reported_target	reads_multiple_reported_targets	reads_unique_best_AS	reads_tied_best_AS
Lib3barcode67	5556	215	5341	215	0	215	0
Lib3barcode68	2263	0	2263	0	0	0	0
Lib3barcode69	621	0	621	0	0	0	0
Lib3barcode70	3333	294	3039	294	0	294	0
Lib3barcode71	2405	263	2142	263	0	263	0
Lib3barcode72	2842	397	2445	397	0	397	0
Lib3barcode73	3220	178	3042	178	0	178	0
Lib3barcode74	1965	0	1965	0	0	0	0
Lib3barcode75	3264	1	3263	1	0	1	0
Lib3barcode76	1773	233	1540	233	0	233	0
Lib3barcode77	3732	0	3732	0	0	0	0
Lib3barcode78	6053	1	6052	1	0	1	0
Lib3barcode79	1624	0	1624	0	0	0	0
Lib3barcode80	1589	259	1330	100	159	249	10
Lib3barcode81	2466	506	1960	506	0	506	0
Lib3barcode82	4485	1	4484	1	0	1	0
Lib3barcode83	6123	0	6123	0	0	0	0
Lib3barcode84	1335	198	1137	198	0	198	0
Lib3barcode85	2013	423	1590	423	0	423	0
Lib3barcode86	1850	2	1848	2	0	2	0
Lib3barcode87	2566	105	2461	105	0	105	0
Lib3barcode88	115	1	114	1	0	1	0
Lib3barcode89	2140	0	2140	0	0	0	0
Lib3barcode90	1369	246	1123	246	0	246	0
Lib3barcode91	4367	0	4367	0	0	0	0
Lib3barcode92	2251	153	2098	153	0	153	0
Lib3barcode93	1638	0	1638	0	0	0	0
Lib3barcode94	2110	0	2110	0	0	0	0
Lib3barcode95	4589	0	4589	0	0	0	0
Lib3barcode96	2925	0	2925	0	0	0	0
